text,label
expense: Витратив на таксі Uber,Транспорт
expense: Купив заправку авто,Транспорт
expense: Витратив на каву,Їжа
expense: Оплатив фрукти в супермаркеті,Їжа
expense: кросівки Adidas,Покупки
expense: Оплатив квиток в кіно,Розваги
expense: таксі Uber,Транспорт
expense: відпочинок,Розваги
expense: Купив подарунок другу,Подарунок
income: Отримав подарунок на Новий Рік,Подарунок
expense: електроенергію,Комунальні
expense: Оплатив ноутбук,Покупки
income: Отримав грошовий подарунок,Подарунок
expense: Оплатив зошити та ручки,Освіта
expense: Витратив на рюкзак,Покупки
expense: парк розваг,Розваги
income: зарплату за місяць,Зарплата
expense: джинси Levi's,Покупки
income: Надійшла замовлення,Фріланс
expense: Витратив на сніданок,Їжа
expense: Витратив на подарунок,Подарунок
income: Отримав кешбек,Інше джерело
expense: Купив поїздку,Транспорт
expense: дрібні витрати,Інше
income: подарунок від друга,Подарунок
expense: Витратив на таблетки,Здоров'я
expense: Оплатив одяг в Zara,Покупки
expense: Купив таксі Uber,Транспорт
income: додатковий дохід,Бонус
expense: проїзд в метро,Транспорт
expense: Витратив на обід,Їжа
expense: Купив навушники,Покупки
expense: Купив білет в кіно,Розваги
expense: Купив сертифікат курсу,Освіта
expense: Оплатив поїздку на таксі,Транспорт
expense: Купив семінар,Освіта
expense: Оплатив продукти в супермаркеті,Їжа
income: Надійшла гроші за iOS розробку,Фріланс
expense: Купив лампочки,Комунальні
income: заробітну плату,Зарплата
expense: фрукти в супермаркеті,Їжа
expense: планшет,Покупки
expense: Оплатив м'ясо,Їжа
expense: Купив подарунок на свято,Подарунок
expense: Оплатив піцу,Їжа
expense: Купив продукти в супермаркеті,Їжа
expense: букет квітів,Подарунок
expense: овочі на ринку,Їжа
expense: Купив доставку їжі,Їжа
income: інший дохід,Інше джерело
expense: Витратив на білет в кіно,Розваги
income: Надійшла гонорар,Фріланс
expense: Оплатив заправку авто,Транспорт
expense: інші витрати,Інше
expense: Оплатив бензин,Транспорт
expense: Витратив на парковку,Транспорт
expense: Витратив на світло,Комунальні
expense: Витратив на джинси Levi's,Покупки
expense: Купив квартплату,Комунальні
expense: Оплатив квиток на концерт,Розваги
expense: Купив ігри,Розваги
expense: Оплатив візит до лікаря,Здоров'я
expense: Оплатив медикаменти,Здоров'я
expense: телефон Samsung,Покупки
expense: Оплатив інтернет Київстар,Комунальні
expense: ліки в аптеці,Здоров'я
income: Надійшла компенсацію витрат,Інше джерело
expense: театр,Розваги
expense: Купив квиток в кіно,Розваги
expense: Оплатив білет на літак,Транспорт
expense: Оплатив вечерю,Їжа
income: повернення боргу,Інше джерело
income: Надійшла тимчасову роботу,Бонус
income: зарплату,Зарплата
income: Отримав оплату за проект,Фріланс
expense: Витратив на підручники для університету,Освіта
expense: подарунок тату,Подарунок
income: Отримав оплату за програмування,Фріланс
income: Отримав замовлення,Фріланс
expense: Витратив на кросівки,Покупки
expense: Витратив на товари в магазині,Покупки
expense: бензин на заправці,Транспорт
income: Надійшла місячну зарплату,Зарплата
expense: Купив одяг,Покупки
expense: Витратив на обстеження,Здоров'я
expense: Купив навушники AirPods,Покупки
expense: білет на концерт,Розваги
expense: Витратив на оплату за навчання,Освіта
expense: Оплатив обстеження,Здоров'я
expense: Купив відпочинок,Розваги
expense: Купив джинси,Покупки
expense: Купив квиток на автобус,Транспорт
income: місячну зарплату,Зарплата
expense: батарейки,Інше
expense: Оплатив підручник,Освіта
expense: Витратив на кросівки Nike,Покупки
income: оклад,Зарплата
expense: сорочку,Покупки
income: Надійшла оплату за програмування,Фріланс
expense: ліки,Здоров'я
expense: Купив газ,Комунальні
income: оплату від клієнта,Фріланс
income: подарунок від батьків,Подарунок
expense: ноутбук MacBook,Покупки
expense: Витратив на квиток на автобус,Транспорт
income: Надійшла винагороду,Бонус
expense: Витратив на СТО,Транспорт
expense: Оплатив ноутбук MacBook,Покупки
expense: Купив медичні послуги,Здоров'я
expense: Витратив на комунальні послуги,Комунальні
income: Надійшла зарплату за січень,Зарплата
expense: подарунок мамі,Подарунок
expense: продукти в Сільпо,Їжа
expense: Купив одяг в Zara,Покупки
expense: Купив бургер,Їжа
expense: парфуми,Покупки
expense: Купив термометр,Здоров'я
expense: Оплатив майстер-клас,Освіта
expense: сумку,Покупки
expense: Оплатив маску медичну,Здоров'я
expense: Оплатив таксі Bolt,Транспорт
income: бонус,Зарплата
expense: Купив годинник,Покупки
expense: Купив мийку авто,Транспорт
expense: Купив кросівки Adidas,Покупки
expense: Купив продукти в АТБ,Їжа
expense: Купив воду і водовідведення,Комунальні
expense: Купив транспорт,Транспорт
expense: Оплатив ремонт автомобіля,Транспорт
expense: Витратив на таксі Bolt,Транспорт
expense: Купив фільтр для води,Комунальні
expense: Оплатив кросівки Adidas,Покупки
expense: продукти в супермаркеті,Їжа
expense: Оплатив підписку на розваги,Розваги
income: Надійшла разову виплату,Бонус
income: винагороду,Бонус
income: дохід від депозиту,Інвестиції
expense: таблетки від головного болю,Здоров'я
expense: ігри,Розваги
expense: квартплату,Комунальні
expense: Оплатив господарські товари,Інше
expense: кросівки,Покупки
expense: страховку авто,Транспорт
income: Отримав аванс,Зарплата
expense: подарунок колезі,Подарунок
income: кешбек,Інше джерело
expense: джинси,Покупки
expense: поїздку на таксі,Транспорт
expense: Витратив на смартфон,Покупки
expense: білет в кіно,Розваги
income: гроші за проект,Фріланс
expense: хліб і молоко,Їжа
income: Надійшла прибуток від акцій,Інвестиції
expense: Купив онлайн курс,Освіта
income: Отримав оклад,Зарплата
expense: підручники для університету,Освіта
expense: Оплатив абонемент в спортзал,Здоров'я
expense: Витратив на обід в ресторані,Їжа
expense: сувенір,Подарунок
expense: спортивну подію,Розваги
income: Отримав зарплату за місяць,Зарплата
income: гроші від бабусі,Подарунок
expense: квіти,Подарунок
expense: Оплатив подарунок на Новий Рік,Подарунок
expense: Оплатив фрукти,Їжа
income: Отримав премію,Зарплата
expense: проїзний,Транспорт
income: Надійшла дохід від криптовалюти,Інвестиції
expense: Купив бензин на заправці,Транспорт
expense: Витратив на фрукти в супермаркеті,Їжа
expense: Оплатив таксі Uber,Транспорт
expense: Витратив на курс англійської мови,Освіта
expense: Оплатив фільтр для води,Комунальні
income: Надійшла знайшов гроші,Інше джерело
expense: подарунок на день народження,Подарунок
expense: Оплатив бургер,Їжа
expense: таблетки,Здоров'я
expense: Витратив на медикаменти,Здоров'я
expense: непередбачені витрати,Інше
expense: Витратив на планшет iPad,Покупки
expense: Витратив на м'ясо в магазині,Їжа
income: Отримав винагороду,Бонус
expense: Купив підписку на гру,Розваги
expense: підручник,Освіта
expense: Оплатив молоко,Їжа
income: Отримав бонус,Зарплата
expense: Витратив на суші,Їжа
expense: Купив смартфон,Покупки
income: Отримав повернення грошей,Інше джерело
income: Надійшла оплату за додаток,Фріланс
expense: Витратив на книги,Освіта
expense: Купив непередбачені витрати,Інше
expense: Купив курси програмування,Освіта
expense: термометр,Здоров'я
expense: репетитора з математики,Освіта
expense: фільтр для води,Комунальні
expense: виставку,Розваги
expense: Оплатив проїзд в метро,Транспорт
expense: Витратив на навушники AirPods,Покупки
expense: Оплатив підручники для університету,Освіта
expense: Витратив на подарунок колезі,Подарунок
income: Отримав додатковий заробіток,Інше джерело
expense: Купив поїздку на таксі,Транспорт
expense: Оплатив продукти в Сільпо,Їжа
expense: Оплатив електроенергію,Комунальні
income: дивіденди,Інвестиції
expense: Витратив на паркування,Транспорт
expense: м'ясо в магазині,Їжа
income: гроші за iOS розробку,Фріланс
expense: Витратив на електроенергію,Комунальні
expense: Оплатив квартплату,Комунальні
expense: онлайн курс,Освіта
expense: Витратив на техогляд,Транспорт
income: зарплату за січень,Зарплата
expense: овочі,Їжа
income: компенсацію,Бонус
expense: транспорт,Транспорт
expense: книгу художню,Розваги
expense: Витратив на овочі на ринку,Їжа
income: Отримав повернення боргу,Інше джерело
expense: Купив обстеження,Здоров'я
income: Надійшла інший дохід,Інше джерело
expense: таксі,Транспорт
expense: витрати на побут,Інше
expense: Оплатив планшет iPad,Покупки
income: гроші за фріланс,Фріланс
expense: Оплатив PlayStation Plus,Розваги
expense: Оплатив фітнес,Здоров'я
expense: Купив одяг в H&M,Покупки
expense: Оплатив годинник,Покупки
expense: Витратив на гру,Розваги
expense: одяг,Покупки
income: Отримав дохід від депозиту,Інвестиції
income: заробітну плату,Зарплата
income: Надійшла бонус від роботодавця,Зарплата
expense: поїздку,Транспорт
expense: Купив візит до стоматолога,Здоров'я
expense: Витратив на Spotify Premium,Розваги
income: бонус,Бонус
expense: подарунок,Подарунок
expense: книгу,Освіта
expense: Оплатив мийку авто,Транспорт
expense: планшет iPad,Покупки
income: додатковий заробіток,Інше джерело
expense: Оплатив гру,Розваги
expense: Купив інші витрати,Інше
expense: розваги,Розваги
expense: Оплатив продукти в АТБ,Їжа
income: Отримав гонорар,Фріланс
expense: газ,Комунальні
expense: Купив PlayStation Plus,Розваги
expense: Витратив на вітаміни,Здоров'я
expense: Купив куртку,Покупки
income: Надійшла відсотки з депозиту,Інвестиції
income: Надійшла подарунок на Новий Рік,Подарунок
expense: паркування,Транспорт
income: Отримав гроші за проект,Фріланс
expense: їжу в McDonald's,Їжа
expense: взуття,Покупки
income: фріланс,Фріланс
expense: Оплатив телефон Samsung,Покупки
expense: Витратив на курс англійської,Освіта
expense: Витратив на заправку авто,Транспорт
income: виграш,Інше джерело
expense: Купив продукти в Сільпо,Їжа
expense: Купив навчання в університеті,Освіта
income: фріланс,Фріланс
expense: Купив планшет,Покупки
expense: інтернет Київстар,Комунальні
expense: Купив футболку,Покупки
expense: Купив прийом у лікаря,Здоров'я
income: подарунок на свято,Подарунок
expense: Витратив на музей,Розваги
expense: Витратив на проїзд,Транспорт
expense: годинник Apple Watch,Покупки
income: виплату за роботу,Фріланс
expense: Купив ліки,Здоров'я
income: прибуток,Інвестиції
expense: Оплатив телефон,Комунальні
income: Отримав виплату за роботу,Фріланс
income: Надійшла додаткову виплату,Бонус
expense: Витратив на каву в Starbucks,Їжа
expense: Витратив на парк розваг,Розваги
expense: Купив їжу в KFC,Їжа
expense: мийку авто,Транспорт
expense: Купив світло,Комунальні
expense: Оплатив салат,Їжа
expense: Купив светр,Покупки
expense: Витратив на репетитора,Освіта
income: гроші за фріланс,Фріланс
expense: Купив хліб,Їжа
expense: Купив виставку,Розваги
income: Отримав дохід від криптовалюти,Інвестиції
expense: Витратив на бургер,Їжа
expense: Купив парковку,Транспорт
expense: Оплатив театр,Розваги
expense: проїзд,Транспорт
expense: Купив комунальні послуги,Комунальні
income: додаткову виплату,Бонус
expense: Купив техогляд,Транспорт
expense: Купив дрібні витрати,Інше
expense: Купив курс англійської мови,Освіта
expense: Купив кросівки Nike,Покупки
expense: Купив інструменти,Інше
income: гроші за проект,Фріланс
expense: Оплатив сніданок,Їжа
expense: квиток в кіно,Розваги
income: Отримав дивіденди,Інвестиції
expense: Купив Spotify Premium,Розваги
expense: шампунь,Покупки
expense: Оплатив підписку Spotify,Комунальні
expense: їжу в АТБ,Їжа
income: Надійшла кешбек,Інше джерело
expense: Витратив на мийку авто,Транспорт
expense: піцу,Їжа
expense: Оплатив дрібні витрати,Інше
expense: Витратив на підписку на гру,Розваги
expense: Витратив на поїздку на таксі,Транспорт
expense: Купив парфуми,Покупки
expense: Витратив на інтернет,Комунальні
expense: Купив вітаміни,Здоров'я
expense: воду і водовідведення,Комунальні
expense: Оплатив окуляри,Покупки
income: виплату зарплати,Зарплата
expense: Купив розваги,Розваги
expense: Оплатив ігри,Розваги
expense: семінар,Освіта
expense: хліб,Їжа
expense: їжу в кафе,Їжа
expense: Купив сорочку,Покупки
expense: Оплатив гру в Steam,Розваги
expense: Оплатив їжу в АТБ,Їжа
expense: Витратив на спортивну подію,Розваги
income: Надійшла додатковий дохід,Бонус
expense: Оплатив подарунок колезі,Подарунок
expense: Оплатив косметику,Покупки
expense: Оплатив репетитора з математики,Освіта
expense: Оплатив курси,Освіта
income: оплату за розробку,Фріланс
expense: Оплатив інтернет,Комунальні
expense: Витратив на ліки,Здоров'я
expense: Купив годинник Apple Watch,Покупки
expense: Купив подарунок,Подарунок
expense: Витратив на окуляри,Покупки
expense: медикаменти,Здоров'я
expense: Купив СТО,Транспорт
expense: Оплатив транспорт,Транспорт
expense: воду,Комунальні
expense: піцу в Dominos,Їжа
expense: навчання,Освіта
expense: Витратив на підписку на розваги,Розваги
expense: маску медичну,Здоров'я
expense: Оплатив світло,Комунальні
expense: Оплатив підписку на гру,Розваги
expense: Оплатив квиток на автобус,Транспорт
expense: Купив інтернет Vodafone,Комунальні
expense: Витратив на одяг в H&M,Покупки
expense: обід,Їжа
expense: техогляд,Транспорт
income: дохід від криптовалюти,Інвестиції
income: оплату за проект,Фріланс
expense: Оплатив светр,Покупки
expense: Купив різне,Інше
expense: Витратив на піцу в Dominos,Їжа
expense: Оплатив кросівки Nike,Покупки
expense: Витратив на білет на літак,Транспорт
expense: Витратив на їжу в магазині,Їжа
income: повернення боргу,Інше джерело
income: додатковий дохід,Бонус
expense: Оплатив підручники,Освіта
expense: СТО,Транспорт
expense: зошити та ручки,Освіта
expense: Купив квиток на потяг,Транспорт
expense: молоко,Їжа
expense: Оплатив шорти,Покупки
expense: Оплатив їжу в кафе,Їжа
expense: Витратив на виставку,Розваги
income: оплату за проект,Фріланс
expense: Витратив на квиток на концерт,Розваги
expense: комунальні платежі,Комунальні
expense: квиток на потяг,Транспорт
income: оплату за додаток,Фріланс
expense: Витратив на шорти,Покупки
expense: Купив гру в Steam,Розваги
expense: Купив підручник,Освіта
expense: господарські товари,Інше
expense: Оплатив рюкзак,Покупки
income: Надійшла гроші від бабусі,Подарунок
expense: Купив майстер-клас,Освіта
expense: Оплатив товари в магазині,Покупки
income: зарплату,Зарплата
income: грошовий подарунок,Подарунок
expense: Витратив на годинник Apple Watch,Покупки
expense: книги,Освіта
expense: Витратив на шампунь,Покупки
expense: Оплатив каву в Starbucks,Їжа
expense: Купив візит до лікаря,Здоров'я
expense: курс англійської,Освіта
income: додатковий заробіток,Інше джерело
expense: Купив підписку Spotify,Комунальні
income: дивіденди,Інвестиції
expense: фітнес,Здоров'я
expense: бензин,Транспорт
expense: Оплатив телефон,Покупки
income: Надійшла виплату зарплати,Зарплата
income: Отримав компенсацію витрат,Інше джерело
expense: Оплатив воду,Комунальні
expense: Купив букет квітів,Подарунок
expense: Оплатив парк розваг,Розваги
expense: Оплатив їжу в ресторані,Їжа
income: гроші від бабусі,Подарунок
expense: Купив аналізи,Здоров'я
expense: Оплатив виставку,Розваги
income: оплату від клієнта,Фріланс
expense: Купив батарейки,Інше
expense: Витратив на ноутбук,Покупки
expense: Витратив на фітнес,Здоров'я
expense: Витратив на інтернет Київстар,Комунальні
expense: Витратив на Xbox Game Pass,Розваги
income: Отримав зарплатню,Зарплата
income: відсотки з депозиту,Інвестиції
expense: Оплатив квиток на поїзд,Транспорт
expense: Купив підручники для університету,Освіта
expense: Купив суші,Їжа
expense: гру,Розваги
expense: Витратив на вечерю,Їжа
expense: Витратив на сендвіч,Їжа
expense: Витратив на светр,Покупки
expense: Купив квіти,Подарунок
expense: Купив кросівки,Покупки
expense: Витратив на косметику,Покупки
income: Отримав місячну зарплату,Зарплата
expense: Оплатив хліб і молоко,Їжа
expense: сендвіч,Їжа
income: інвестиційний дохід,Інвестиції
expense: Оплатив візит до стоматолога,Здоров'я
income: інвестиційний дохід,Інвестиції
expense: лампочки,Комунальні
expense: Витратив на медичний огляд,Здоров'я
income: Отримав бонус від роботодавця,Бонус
expense: Витратив на сувенір,Подарунок
expense: бургер,Їжа
expense: Витратив на онлайн курс,Освіта
income: Надійшла премію,Зарплата
expense: Купив обід в ресторані,Їжа
income: Надійшла прибуток з інвестицій,Інвестиції
expense: Купив інтернет Київстар,Комунальні
expense: подарунок на Новий Рік,Подарунок
expense: Витратив на продукти в Сільпо,Їжа
expense: Витратив на медичні послуги,Здоров'я
expense: Витратив на продукти в супермаркеті,Їжа
expense: Оплатив їжу на виніс,Їжа
income: подарунок на день народження,Подарунок
income: разову виплату,Бонус
expense: Купив подарунок на день народження,Подарунок
expense: Купив парк розваг,Розваги
expense: гру в Steam,Розваги
income: гроші за iOS розробку,Фріланс
expense: Купив квиток на футбол,Розваги
expense: Купив піцу в Dominos,Їжа
income: гонорар,Фріланс
expense: їжу в KFC,Їжа
expense: вечерю,Їжа
expense: Витратив на одяг в Zara,Покупки
income: прибуток з інвестицій,Інвестиції
expense: Витратив на кросівки Adidas,Покупки
expense: Купив телефон,Комунальні
expense: Витратив на PlayStation Plus,Розваги
income: Отримав фріланс,Фріланс
income: подарунок від друга,Подарунок
expense: Оплатив білет в кіно,Розваги
income: гроші в подарунок,Подарунок
expense: Оплатив обід в ресторані,Їжа
income: Надійшла оплату за розробку,Фріланс
expense: обстеження,Здоров'я
expense: Оплатив книги,Освіта
income: подарунок на свято,Подарунок
income: подарунок від батьків,Подарунок
expense: Купив підписку Netflix,Комунальні
expense: Витратив на майстер-клас,Освіта
expense: Оплатив подарунок,Подарунок
expense: підписку Netflix,Комунальні
expense: Купив театр,Розваги
expense: Купив їжу в кафе,Їжа
income: Отримав оплату за додаток,Фріланс
expense: Витратив на Netflix підписку,Розваги
income: Надійшла аванс,Зарплата
expense: Купив шампунь,Покупки
expense: Витратив на проїзний,Транспорт
expense: продукти в АТБ,Їжа
income: Надійшла підробіток,Бонус
expense: Витратив на продукти в магазині,Їжа
expense: Витратив на стоматолога,Здоров'я
income: дохід від депозиту,Інвестиції
expense: Витратив на навчання,Освіта
expense: Оплатив розваги,Розваги
expense: Купив таблетки,Здоров'я
expense: Оплатив продукти в магазині,Їжа
expense: Купив обід,Їжа
expense: різні покупки,Інше
income: повернення грошей,Інше джерело
expense: Оплатив медичний огляд,Здоров'я
expense: Витратив на воду і водовідведення,Комунальні
expense: Витратив на воду,Комунальні
expense: Купив проїзний,Транспорт
expense: Витратив на квиток на потяг,Транспорт
expense: Купив таблетки від головного болю,Здоров'я
expense: Купив каву,Їжа
expense: Купив фітнес,Здоров'я
income: компенсацію витрат,Інше джерело
expense: Купив конференцію,Освіта
expense: Купив різні покупки,Інше
expense: Оплатив квиток на футбол,Розваги
income: Отримав виплату зарплати,Зарплата
expense: Оплатив воду і водовідведення,Комунальні
expense: Купив опалення,Комунальні
expense: Купив книгу художню,Розваги
expense: Оплатив обід,Їжа
expense: Оплатив каву,Їжа
expense: Оплатив Netflix підписку,Розваги
expense: Оплатив планшет,Покупки
income: Отримав разову виплату,Бонус
expense: Оплатив ліки в аптеці,Здоров'я
expense: Витратив на візит до лікаря,Здоров'я
expense: Netflix підписку,Розваги
income: пасивний дохід,Інвестиції
